pco.edge 5.5 / 3.1
wavelength(nm)	QE(%)
200	0
222	0
243	0,3261
253	1,087
285	3,86972
313	6,8481
340	10,87
375	22,827
380	23,914
400	31,523
405	34,4579
436	44,567
470	51,089
501	54,8935
528	57,611
558	58,9154
586	59,8937
589	60,05675
597	60,0024
624	59,785
635	59,0241
643	58,698
671	56,524
700	51,089
740	46,1975
770	40,219
810	31,523
850	25,001
880	20,653
950	7,3916
1000	2,6088
1050	1,1957
1100	0
